H_cluster_id,cluster_id,id,A,AP,AF,AS,S,R,APF,AR,lable
((1559)(1881)),1559,152,0.979310344828,0.0200626959248,0.0,0.000626959247649,0.0,0.0,0.0,0.0,HTTP
((1559)(1881)),1559,1265,0.978378378378,0.0216216216216,0.0,0.0,0.0,0.0,0.0,0.0,HTTP
((1559)(1881)),1881,777,0.694444444444,0.25,0.0277777777778,0.0138888888889,0.0138888888889,0.0,0.0,0.0,HTTP
((1559)(1881)),1881,1341,0.694915254237,0.237288135593,0.0338983050847,0.0169491525424,0.0169491525424,0.0,0.0,0.0,HTTP
((1768)(1785)),1768,563,0.818181818182,0.12987012987,0.012987012987,0.012987012987,0.012987012987,0.0,0.012987012987,0.0,HTTP
((1768)(1785)),1768,714,0.82,0.14,0.0,0.02,0.0,0.0,0.02,0.0,HTTP
((1768)(1785)),1785,593,0.72,0.24,0.0,0.02,0.02,0.0,0.0,0.0,HTTP
((1768)(1785)),1785,717,0.732142857143,0.232142857143,0.0,0.0178571428571,0.0178571428571,0.0,0.0,0.0,HTTP
(297),297,478,0.979919678715,0.0180722891566,0.0,0.0,0.00200803212851,0.0,0.0,0.0,HTTPs
(1556),1556,147,0.909090909091,0.0743801652893,0.00826446280992,0.00826446280992,0.0,0.0,0.0,0.0,HTTPs
(1907),1907,839,0.761904761905,0.190476190476,0.0238095238095,0.0119047619048,0.0119047619048,0.0,0.0,0.0,HTTP
(1907),1907,1150,0.765306122449,0.19387755102,0.0204081632653,0.0102040816327,0.0102040816327,0.0,0.0,0.0,HTTP
(600),600,942,0.955752212389,0.0265486725664,0.00884955752212,0.00884955752212,0.0,0.0,0.0,0.0,HTTP
(596),596,348,0.699115044248,0.256637168142,0.00884955752212,0.0,0.00884955752212,0.0265486725664,0.0,0.0,HTTP
(596),596,938,0.705882352941,0.235294117647,0.0117647058824,0.0117647058824,0.0117647058824,0.0235294117647,0.0,0.0,HTTP
(2114),2114,1316,0.94701986755,0.0264900662252,0.0,0.00662251655629,0.0,0.0132450331126,0.00662251655629,0.0,HTTPs
(2114),2114,1340,0.95,0.0277777777778,0.0,0.00555555555556,0.0,0.0111111111111,0.00555555555556,0.0,HTTPs
(1554),1554,143,0.999913468611,4.32656946307e-05,0.0,0.0,4.32656946307e-05,0.0,0.0,0.0,HTTPs
(1216),1216,1543,0.993582887701,0.00641711229947,0.0,0.0,0.0,0.0,0.0,0.0,HTTPs
(1216),1216,1972,0.993939393939,0.00606060606061,0.0,0.0,0.0,0.0,0.0,0.0,HTTPs
(2434),2434,2116,0.793650793651,0.142857142857,0.015873015873,0.015873015873,0.015873015873,0.0,0.015873015873,0.0,HTTP
(1245),1245,2015,0.661569826707,0.336391437309,0.0,0.00101936799185,0.00101936799185,0.0,0.0,0.0,HTTP
(2451),2451,2152,0.933333333333,0.0564102564103,0.00512820512821,0.00512820512821,0.0,0.0,0.0,0.0,HTTP
(1666),1666,364,0.954545454545,0.030303030303,0.0,0.0,0.0151515151515,0.0,0.0,0.0,HTTP
(1987),1987,1013,0.947826086957,0.0434782608696,0.0,0.00869565217391,0.0,0.0,0.0,0.0,HTTP
(1772),1772,568,0.959304790165,0.0398473929631,0.0,0.000847816871556,0.0,0.0,0.0,0.0,HTTPs
((1920)(2019)),1920,863,0.8,0.133333333333,0.0166666666667,0.0166666666667,0.0166666666667,0.0,0.0166666666667,0.0,HTTP
((1920)(2019)),1920,1159,0.796610169492,0.135593220339,0.0169491525424,0.0169491525424,0.0169491525424,0.0,0.0169491525424,0.0,HTTP
((1920)(2019)),2019,1081,0.984978540773,0.0139484978541,0.0,0.00107296137339,0.0,0.0,0.0,0.0,HTTP
((1920)(2019)),2019,1158,0.983546617916,0.0127970749543,0.0018281535649,0.0018281535649,0.0,0.0,0.0,0.0,HTTP
(2272),2272,1720,0.744360902256,0.225563909774,0.015037593985,0.00751879699248,0.00751879699248,0.0,0.0,0.0,HTTP
(1664),1664,358,0.810344827586,0.120689655172,0.0344827586207,0.0172413793103,0.0172413793103,0.0,0.0,0.0,HTTP
(1664),1664,514,0.810344827586,0.120689655172,0.0344827586207,0.0172413793103,0.0172413793103,0.0,0.0,0.0,HTTP
(1686),1686,402,0.803571428571,0.125,0.0357142857143,0.0178571428571,0.0178571428571,0.0,0.0,0.0,HTTPs
(1686),1686,708,0.803571428571,0.125,0.0357142857143,0.0178571428571,0.0178571428571,0.0,0.0,0.0,HTTPs
(1272),1272,2072,0.660377358491,0.283018867925,0.0188679245283,0.0188679245283,0.0,0.0,0.0188679245283,0.0,HTTP
(1825),1825,656,0.858490566038,0.132075471698,0.0,0.00943396226415,0.0,0.0,0.0,0.0,HTTP
(1825),1825,2007,0.855072463768,0.130434782609,0.0,0.0144927536232,0.0,0.0,0.0,0.0,HTTP
(2230),2230,1616,0.967213114754,0.016393442623,0.0,0.016393442623,0.0,0.0,0.0,0.0,HTTP
(1288),1288,2097,0.78431372549,0.117647058824,0.0588235294118,0.0,0.0196078431373,0.0,0.0196078431373,0.0,HTTPs
