cluster_id,id,A,AP,AF,AS,S,R,APF,AR,lable
0,850,0.793650794,0.142857143,0.015873016,0.015873016,0.015873016,0,0.015873016,0,HTTPs
0,851,0.379746835,0.594936709,0,0.012658228,0.012658228,0,0,0,HTTPs
0,852,0.791044776,0.179104478,0.014925373,0.014925373,0,0,0,0,HTTP
0,853,0.803921569,0.117647059,0.039215686,0.019607843,0.019607843,0,0,0,HTTPs
0,854,0.672131148,0.196721311,0.049180328,0.016393443,0.016393443,0.049180328,0,0,HTTPs
0,855,0.913533835,0.082706767,0,0.003759398,0,0,0,0,HTTPs
0,856,0.836065574,0.155737705,0,0.008196721,0,0,0,0,HTTP
0,857,0.777777778,0.166666667,0.013888889,0.013888889,0.013888889,0,0.013888889,0,HTTPs
0,858,0.876404494,0.112359551,0,0,0.011235955,0,0,0,HTTPs
0,859,0.879120879,0.10989011,0,0,0.010989011,0,0,0,HTTPs
0,860,0.78,0.2,0,0,0.02,0,0,0,HTTPs
0,861,0.926829268,0.048780488,0,0.012195122,0,0,0,0.012195122,HTTPs
0,862,0.826530612,0.163265306,0,0,0.010204082,0,0,0,HTTP
0,863,0.8,0.133333333,0.016666667,0.016666667,0.016666667,0,0.016666667,0,HTTP
0,864,0.8,0.12,0.02,0.02,0.02,0,0.02,0,HTTPs
0,865,0.672131148,0.278688525,0.016393443,0.016393443,0.016393443,0,0,0,HTTP
0,866,0.843137255,0.078431373,0.039215686,0.019607843,0.019607843,0,0,0,HTTPs
0,867,0.912195122,0.082926829,0,0.004878049,0,0,0,0,HTTPs
0,868,0.911196911,0.084942085,0,0.003861004,0,0,0,0,HTTP
0,869,0.943925234,0.051401869,0,0.004672897,0,0,0,0,SMTP
0,870,0.810810811,0.135135135,0.027027027,0.013513514,0.013513514,0,0,0,HTTP
0,871,0.849056604,0.094339623,0.018867925,0.018867925,0.018867925,0,0,0,HTTP
0,872,0.869565217,0.097826087,0.010869565,0.010869565,0,0,0,0.010869565,HTTP
0,873,0.951807229,0.024096386,0.012048193,0,0.012048193,0,0,0,HTTPs
0,874,0.885245902,0.081967213,0,0,0.016393443,0,0.016393443,0,HTTP
0,875,0.807692308,0.115384615,0.038461538,0.019230769,0.019230769,0,0,0,HTTP
0,876,0.904761905,0.071428571,0.011904762,0.011904762,0,0,0,0,HTTP
0,877,0.880434783,0.097826087,0.010869565,0.010869565,0,0,0,0,HTTP
0,878,0.819672131,0.147540984,0,0.016393443,0.016393443,0,0,0,HTTP
0,879,0.76,0.22,0,0.02,0,0,0,0,HTTPs
0,880,0.901990812,0.096477795,0,0.001531394,0,0,0,0,HTTPs
0,881,0.914734065,0.085127066,0,0,0.00013887,0,0,0,HTTP
0,882,0.966101695,0.016949153,0,0.016949153,0,0,0,0,HTTP
0,883,0.80952381,0.126984127,0.015873016,0.015873016,0.015873016,0,0.015873016,0,HTTP
0,884,0.955223881,0.014925373,0.014925373,0,0.014925373,0,0,0,HTTP
0,885,0.793103448,0.137931034,0.034482759,0.017241379,0.017241379,0,0,0,HTTP
0,886,0.981228433,0.01131815,0.000138026,0,0.000138026,0.007039337,0,0.000138026,HTTPs
0,887,0.601851852,0.37962963,0,0.009259259,0.009259259,0,0,0,HTTP
0,888,0.82,0.12,0.02,0.02,0.02,0,0,0,HTTP
0,889,0.793650794,0.142857143,0.015873016,0.015873016,0.015873016,0,0.015873016,0,HTTP
0,890,0.963302752,0.027522936,0,0.009174312,0,0,0,0,HTTP
0,891,0.807017544,0.122807018,0.035087719,0.01754386,0.01754386,0,0,0,HTTPs
0,892,0.910638298,0.080851064,0.004255319,0.004255319,0,0,0,0,HTTP
0,893,0.89516129,0.096774194,0,0.008064516,0,0,0,0,HTTP
0,894,0.909090909,0.084415584,0,0.006493506,0,0,0,0,HTTP
0,895,0.916666667,0.052083333,0,0.03125,0,0,0,0,HTTP
0,896,0.001373626,0.997252747,0,0.001373626,0,0,0,0,HTTPs
0,897,0.901098901,0.065934066,0.021978022,0.010989011,0,0,0,0,HTTPs
0,898,0.91011236,0.06741573,0.011235955,0.011235955,0,0,0,0,HTTPs
0,899,0.759259259,0.222222222,0,0,0.018518519,0,0,0,HTTPs
0,900,0.764705882,0.215686275,0,0,0.019607843,0,0,0,HTTP
0,901,0.868852459,0.109289617,0.010928962,0.005464481,0.005464481,0,0,0,HTTPs
0,902,0.877777778,0.077777778,0.011111111,0.011111111,0.011111111,0,0.011111111,0,HTTP
0,903,0.808823529,0.147058824,0.029411765,0.014705882,0,0,0,0,HTTPs
0,904,0.949606299,0.047244094,0,0.001574803,0,0.001574803,0,0,HTTPs
0,905,0.845588235,0.147058824,0,0.007352941,0,0,0,0,HTTPs
0,906,0.922558923,0.074074074,0,0.003367003,0,0,0,0,HTTP
0,907,0.962962963,0.031746032,0,0.005291005,0,0,0,0,HTTP
0,908,0.791044776,0.149253731,0.029850746,0.014925373,0.014925373,0,0,0,HTTPs
0,909,0.896226415,0.094339623,0,0.009433962,0,0,0,0,HTTP
0,910,0.912408759,0.080291971,0,0.00729927,0,0,0,0,HTTP
0,911,0.919354839,0.072580645,0,0.008064516,0,0,0,0,HTTP
0,912,0.942446043,0.043165468,0.007194245,0.007194245,0,0,0,0,HTTPs
0,913,0.983218164,0.014807502,0.000987167,0.000987167,0,0,0,0,HTTPs
0,914,0.529411765,0.392156863,0.039215686,0.019607843,0.019607843,0,0,0,HTTPs
0,915,0.898954704,0.097560976,0,0.003484321,0,0,0,0,HTTP
0,916,0.590163934,0.295081967,0.06557377,0.016393443,0.016393443,0,0.016393443,0,HTTPs
0,917,0.896551724,0.068965517,0.017241379,0.00862069,0.00862069,0,0,0,HTTP
0,918,0.974874372,0.024120603,0,0.001005025,0,0,0,0,HTTP
0,919,0.929824561,0.052631579,0,0.01754386,0,0,0,0,HTTPs
0,920,0.986654804,0.012455516,0,0,0.00088968,0,0,0,HTTPs
0,921,0.995107632,0.002935421,0.000978474,0.000978474,0,0,0,0,HTTPs
0,922,0.901785714,0.089285714,0,0,0.008928571,0,0,0,HTTP
0,923,0.918367347,0.07755102,0,0.004081633,0,0,0,0,HTTP
0,924,0.827586207,0.137931034,0.017241379,0.017241379,0,0,0,0,HTTP
0,925,0.818181818,0.145454545,0.018181818,0.018181818,0,0,0,0,HTTP
0,926,0.972332016,0.019762846,0.003952569,0.003952569,0,0,0,0,HTTPs
0,927,0.993145268,0.005800158,0.000263644,0.000263644,0.000263644,0,0.000263644,0,HTTPs
0,928,0.991044776,0.008358209,0,0,0.000597015,0,0,0,HTTPs
0,929,0.906666667,0.066666667,0.013333333,0.013333333,0,0,0,0,HTTP
0,930,0.884892086,0.09352518,0,0.021582734,0,0,0,0,HTTP
0,931,0.9,0.08,0,0.02,0,0,0,0,HTTP
0,932,0.9,0.08,0,0.02,0,0,0,0,HTTP
0,933,0.972911964,0.025959368,0,0.001128668,0,0,0,0,HTTP
0,934,0.906279288,0.089971884,0.001874414,0.000937207,0.000937207,0,0,0,HTTPs
0,935,0.873015873,0.111111111,0.015873016,0,0,0,0,0,HTTP
0,936,0.967741935,0.025806452,0,0.003225806,0.003225806,0,0,0,HTTP
0,937,0.95,0.0375,0,0.0125,0,0,0,0,SMTP
0,938,0.705882353,0.235294118,0.011764706,0.011764706,0.011764706,0.023529412,0,0,HTTP
0,939,0.894736842,0.052631579,0.01754386,0.01754386,0.01754386,0,0,0,HTTP
0,940,0.753246753,0.194805195,0.025974026,0.012987013,0.012987013,0,0,0,HTTP
0,941,0.506849315,0.479452055,0,0,0.01369863,0,0,0,HTTPs
0,942,0.955752212,0.026548673,0.008849558,0.008849558,0,0,0,0,HTTP
0,943,0.937888199,0.031055901,0.00621118,0.00621118,0.00621118,0,0.00621118,0.00621118,HTTP
0,944,0.93877551,0.034013605,0.006802721,0.006802721,0.006802721,0,0,0.006802721,HTTP
0,945,0.957854406,0.019157088,0.007662835,0.007662835,0.007662835,0,0,0,HTTPs
0,946,0.920245399,0.079754601,0,0,0,0,0,0,HTTP
0,947,0.927272727,0.018181818,0.018181818,0.018181818,0,0.018181818,0,0,HTTPs
0,948,0.859375,0.125,0,0,0.015625,0,0,0,HTTP
0,949,0.810344828,0.120689655,0.034482759,0.017241379,0.017241379,0,0,0,HTTPs
0,950,0.760606061,0.233333333,0,0.003030303,0.003030303,0,0,0,HTTP
0,951,0.949152542,0.016949153,0.016949153,0,0.016949153,0,0,0,HTTPs
0,952,0.915492958,0.083282303,0.00061237,0.00061237,0,0,0,0,HTTPs
0,953,0.957575758,0.036363636,0,0.006060606,0,0,0,0,HTTP
0,954,0.767857143,0.142857143,0.035714286,0.017857143,0.017857143,0,0.017857143,0,HTTP
0,955,0.949152542,0.046610169,0,0.004237288,0,0,0,0,HTTP
0,956,0.942760943,0.053872054,0,0.003367003,0,0,0,0,HTTP
0,957,0.935384615,0.061538462,0,0.003076923,0,0,0,0,HTTP
0,958,0.974322397,0.02425107,0,0.001426534,0,0,0,0,HTTP
0,959,0.914728682,0.081395349,0,0.003875969,0,0,0,0,HTTP
0,960,0.967741935,0.016129032,0,0,0.016129032,0,0,0,HTTP
0,961,0.807017544,0.122807018,0.035087719,0.01754386,0.01754386,0,0,0,HTTP
0,962,0.76,0.14,0.04,0.02,0.02,0,0.02,0,HTTP
